,Unnamed: 0,Topics,Sentences,Scores,pos,neg,compound,type,Sentiments_GloVe
0,0,0,Dispute Settlement Other Provisions,"{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}",0.0,0.474,-0.4019,NEG,positive
1,1,0, For details on the rounds of negotiation see the Egyptian State Information Service,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL,positive
2,2,0, conict over,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL,positive
3,3,0, agreement was intended to settle the dispute over the construction of the,"{'neg': 0.17, 'neu': 0.629, 'pos': 0.201, 'compound': 0.128}",0.201,0.17,0.128,POS,positive
4,4,0, also who refers to the general obligation of states to settle the questions that arise in the context of the succession by negotiation or any other agreed means of peaceful dispute Zimmermann under,"{'neg': 0.07, 'neu': 0.747, 'pos': 0.183, 'compound': 0.5267}",0.183,0.07,0.5267,POS,negative
5,5,0, As a means for dispute they foresee the good ofces of a third and as well as the possibility of arbitration or submission of the dispute to the,"{'neg': 0.167, 'neu': 0.679, 'pos': 0.154, 'compound': -0.1027}",0.154,0.167,-0.1027,NEG,negative
6,6,0, In the event of a dispute between two or more Nile Basin States concerning the interpretation or application of the present the States concerned in the absence of an applicable agreement between seek a ment of the dispute by peaceful means in accordance with the following If the States concerned cannot reach agreement by negotiation requested by one of they may jointly seek good or request mediation or conciliation the Nile River Basin Commission or other third or agree to submit the dispute to in accordance with procedures to be adopted by the or to the International Court of,"{'neg': 0.082, 'neu': 0.784, 'pos': 0.134, 'compound': 0.7799}",0.134,0.082,0.7799,POS,negative
7,7,0, dispute environmental impact environmental equitable participation,"{'neg': 0.351, 'neu': 0.649, 'pos': 0.0, 'compound': -0.4019}",0.0,0.351,-0.4019,NEG,negative
8,8,0, A New Framework for Conflict Resolution in Water Allocation in Transboundary Water,"{'neg': 0.187, 'neu': 0.813, 'pos': 0.0, 'compound': -0.3182}",0.0,0.187,-0.3182,NEG,positive
9,9,0, Negotiating water across A peace and conflict for water,"{'neg': 0.195, 'neu': 0.508, 'pos': 0.297, 'compound': 0.296}",0.297,0.195,0.296,POS,positive
10,10,0, The Study of conflict and cooperation in international transboundary river the TWINS,"{'neg': 0.173, 'neu': 0.827, 'pos': 0.0, 'compound': -0.3182}",0.0,0.173,-0.3182,NEG,positive
11,11,0, Water diplomacy and conflict management in the,"{'neg': 0.277, 'neu': 0.723, 'pos': 0.0, 'compound': -0.3182}",0.0,0.277,-0.3182,NEG,positive
12,12,0, Water Cooperation as a Tool for Conflict Prevention and for Broader,"{'neg': 0.204, 'neu': 0.796, 'pos': 0.0, 'compound': -0.3182}",0.0,0.204,-0.3182,NEG,positive
13,13,0, Come rain or An analysis of conflict and climate variability in East,"{'neg': 0.173, 'neu': 0.827, 'pos': 0.0, 'compound': -0.3182}",0.0,0.173,-0.3182,NEG,positive
14,14,0, Conflict and cooperation along international,"{'neg': 0.365, 'neu': 0.635, 'pos': 0.0, 'compound': -0.3182}",0.0,0.365,-0.3182,NEG,positive
15,15,0, Transboundary water interaction Reconsidering conflict and,"{'neg': 0.315, 'neu': 0.685, 'pos': 0.0, 'compound': -0.3182}",0.0,0.315,-0.3182,NEG,positive
16,16,0, Analysis for water conflict,"{'neg': 0.434, 'neu': 0.566, 'pos': 0.0, 'compound': -0.3182}",0.0,0.434,-0.3182,NEG,positive
17,17,0, Preventive diplomacy and conflict Obstacles and,"{'neg': 0.551, 'neu': 0.449, 'pos': 0.0, 'compound': -0.5994}",0.0,0.551,-0.5994,NEG,positive
18,18,0, Conict of interest,"{'neg': 0.0, 'neu': 0.4, 'pos': 0.6, 'compound': 0.4588}",0.6,0.0,0.4588,POS,positive
19,19,0, The potential for water conict is on the,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL,positive
20,20,0, Church mediates dispute over Renaissance,"{'neg': 0.403, 'neu': 0.597, 'pos': 0.0, 'compound': -0.4019}",0.0,0.403,-0.4019,NEG,negative
21,21,0, Cooperation or conflict in transboundary water Case study of South,"{'neg': 0.204, 'neu': 0.796, 'pos': 0.0, 'compound': -0.3182}",0.0,0.204,-0.3182,NEG,positive
22,22,0, To while no armed conflict has had the sharing of water as its main there are many river basins where the transboundary sharing of water resources is either one of the reasons for the outbreak of armed conflict or a cause of tension that could lead to armed conflict,"{'neg': 0.197, 'neu': 0.707, 'pos': 0.097, 'compound': -0.5859}",0.097,0.197,-0.5859,NEG,positive
23,23,0, despite this no armed conflict over water has yet taken,"{'neg': 0.189, 'neu': 0.656, 'pos': 0.155, 'compound': -0.1058}",0.155,0.189,-0.1058,NEG,positive
24,24,0, Egypt versus The Conflict over the Nile,"{'neg': 0.277, 'neu': 0.723, 'pos': 0.0, 'compound': -0.3182}",0.0,0.277,-0.3182,NEG,positive
25,25,0, Resource Conflict in the Horn of,"{'neg': 0.315, 'neu': 0.685, 'pos': 0.0, 'compound': -0.3182}",0.0,0.315,-0.3182,NEG,positive
26,26,0, From Conflict to Cooperation in the Nile,"{'neg': 0.277, 'neu': 0.723, 'pos': 0.0, 'compound': -0.3182}",0.0,0.277,-0.3182,NEG,positive
27,27,0, Centre for Conict University of,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL,positive
28,28,0, Transboundary river management and the need for negotiation and dialogues to avoid unnecessary water conict are,"{'neg': 0.128, 'neu': 0.872, 'pos': 0.0, 'compound': -0.296}",0.0,0.128,-0.296,NEG,positive
29,29,0, The reason for the conict was water,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL,positive
30,30,0, In recent the conflict potential over Nile waters is,"{'neg': 0.223, 'neu': 0.777, 'pos': 0.0, 'compound': -0.3182}",0.0,0.223,-0.3182,NEG,positive
31,31,0, For a game theoretical the Graph Model for Conict Resolution has been utilized to study a generic version of the ongoing Jordan River dispute and Hipel and the Nile River Basin conict before the Egyptian which commenced on January et,"{'neg': 0.068, 'neu': 0.932, 'pos': 0.0, 'compound': -0.4019}",0.0,0.068,-0.4019,NEG,negative
32,32,0, The GERD dispute since the Egyptian revolution of January is analyzed at three points in the conict just before April which involves the use of strategic surprise by the Ethiopian the negotiation in early January and the negotiation in late August as shown in,"{'neg': 0.058, 'neu': 0.897, 'pos': 0.045, 'compound': -0.1531}",0.045,0.058,-0.1531,NEG,negative
33,33,0, the modeling and analysis of the dispute just before April the negotiation in early January and the negotiation in late August are,"{'neg': 0.114, 'neu': 0.886, 'pos': 0.0, 'compound': -0.4019}",0.0,0.114,-0.4019,NEG,positive
34,34,0, For if DMs correctly perceive the dispute and are aware of each options and the dispute is a denoted as H,"{'neg': 0.241, 'neu': 0.759, 'pos': 0.0, 'compound': -0.6597}",0.0,0.241,-0.6597,NEG,positive
35,35,0, in the conict,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,NEUTRAL,positive
36,36,0, This dispute is now formally studied in the next,"{'neg': 0.252, 'neu': 0.748, 'pos': 0.0, 'compound': -0.4019}",0.0,0.252,-0.4019,NEG,negative
37,37,0, The Eastern Nile dispute over GERD encountered a special type of,"{'neg': 0.201, 'neu': 0.597, 'pos': 0.201, 'compound': 0.0}",0.201,0.201,0.0,NEUTRAL,negative
38,38,0, Decision and States for the Conflict Just Before January The DMs and courses of actions for the hydropolitical dispute just before January are given in Table,"{'neg': 0.172, 'neu': 0.828, 'pos': 0.0, 'compound': -0.6124}",0.0,0.172,-0.6124,NEG,negative
